data_as_of,start_date,end_date,group,year,state,sex,age_group,covid_19_deaths,total_deaths,pneumonia_deaths,pneumonia_and_covid_19_deaths,influenza_deaths,pneumonia_influenza_or_covid_19_deaths,footnote,disease_category,prevalence_rate
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,All Sexes,All Ages,"1,146,774","12,303,399","1,162,844","569,264","22,229","1,760,095",,Chronic Kidney Disease,6.05
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,All Sexes,Under 1 year,519,"73,213","1,056",95,64,"1,541",,Hypertension,28.34
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,All Sexes,0-17 years,"1,696","130,970","2,961",424,509,"4,716",,Obesity,45.71
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,All Sexes,1-4 years,285,"14,299",692,66,177,"1,079",,Obesity,40.6
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,All Sexes,5-14 years,509,"22,008",818,143,219,"1,390",,Obesity,27.5
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,All Sexes,15-24 years,"3,021","133,459","3,175","1,257",206,"5,133",,Depression,24.07
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,All Sexes,18-29 years,"7,030","231,382","7,038","3,162",329,"11,206",,Arthritis,27.02
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,All Sexes,25-34 years,"12,401","278,680","11,706","5,842",464,"18,689",,Obesity,41.11
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,All Sexes,30-39 years,"19,886","348,041","18,395","9,766",644,"29,114",,Depression,18.14
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,All Sexes,35-44 years,"30,108","416,477","27,301","15,228",797,"42,904",,Arthritis,19.98
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,All Sexes,40-49 years,"46,260","511,478","41,105","24,074","1,002","64,168",,Asthma,6.86
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,All Sexes,45-54 years,"71,388","709,522","64,918","38,149","1,452","99,423",,Obesity,27.44
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,All Sexes,50-64 years,"203,071","2,030,691","202,077","110,328","4,345","298,620",,Depression,11.92
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,All Sexes,55-64 years,"159,712","1,604,904","161,910","86,974","3,450","237,665",,Obesity,21.48
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,All Sexes,65-74 years,"256,806","2,509,095","272,676","139,386","4,676","394,174",,Cancer,7.06
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,All Sexes,75-84 years,"300,162","3,034,906","317,267","152,120","5,348","470,076",,COPD,8.86
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,All Sexes,85 years and over,"311,863","3,506,836","301,325","130,004","5,376","488,021",,Arthritis,21.0
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Male,All Ages,"629,728","6,469,164","645,490","326,161","10,848","958,520",,Obesity,33.97
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Male,Under 1 year,284,"40,371",586,54,40,854,,Depression,19.92
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Male,0-17 years,910,"76,420","1,601",236,282,"2,544",,Asthma,10.07
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Male,1-4 years,151,"8,102",341,35,109,563,,Obesity,34.93
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Male,5-14 years,261,"12,850",449,83,104,723,,Obesity,39.33
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Male,15-24 years,"1,797","97,748","1,917",730,104,"3,080",,Asthma,10.06
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Male,18-29 years,"4,301","168,776","4,276","1,900",172,"6,832",,Heart Disease,5.83
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Male,25-34 years,"7,607","196,824","7,129","3,594",235,"11,354",,Obesity,36.02
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Male,30-39 years,"12,263","237,089","11,180","6,060",323,"17,679",,Hypertension,24.23
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Male,35-44 years,"18,602","273,868","16,415","9,399",415,"25,984",,Asthma,8.56
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Male,40-49 years,"28,930","326,794","24,772","15,002",552,"39,167",,Cancer,1.21
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Male,45-54 years,"45,411","445,872","39,447","24,190",828,"61,374",,Arthritis,21.2
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Male,50-64 years,"125,592","1,249,590","120,596","67,705","2,387","180,527",,COPD,5.24
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Male,55-64 years,"97,883","983,034","96,141","52,818","1,881","142,817",,Arthritis,17.81
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Male,65-74 years,"152,082","1,450,938","160,476","83,003","2,464","231,668",,Depression,19.07
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Male,75-84 years,"168,030","1,576,934","179,597","88,219","2,598","261,698",,Obesity,28.81
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Male,85 years and over,"137,620","1,382,623","142,992","64,036","2,070","218,405",,Depression,13.85
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Female,All Ages,"517,046","5,834,235","517,354","243,103","11,381","801,575",,Cancer,5.31
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Female,Under 1 year,235,"32,842",470,41,24,687,,Obesity,33.99
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Female,0-17 years,786,"54,550","1,360",188,227,"2,172",,Depression,23.78
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Female,1-4 years,134,"6,197",351,31,68,516,,Depression,22.09
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Female,5-14 years,248,"9,158",369,60,115,667,,Obesity,29.36
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Female,15-24 years,"1,224","35,711","1,258",527,102,"2,053",,Heart Disease,6.28
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Female,18-29 years,"2,729","62,606","2,762","1,262",157,"4,374",,Hypertension,27.42
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Female,25-34 years,"4,794","81,856","4,577","2,248",229,"7,335",,Heart Disease,5.88
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Female,30-39 years,"7,623","110,952","7,215","3,706",321,"11,435",,Obesity,41.36
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Female,35-44 years,"11,506","142,609","10,886","5,829",382,"16,920",,Cancer,2.03
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Female,40-49 years,"17,330","184,684","16,333","9,072",450,"25,001",,Obesity,39.53
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Female,45-54 years,"25,977","263,650","25,471","13,959",624,"38,049",,Obesity,31.85
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Female,50-64 years,"77,479","781,101","81,481","42,623","1,958","118,093",,Hypertension,22.52
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Female,55-64 years,"61,829","621,870","65,769","34,156","1,569","94,848",,Hypertension,26.66
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Female,65-74 years,"104,724","1,058,157","112,200","56,383","2,212","162,506",,Asthma,9.31
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Female,75-84 years,"132,132","1,457,972","137,670","63,901","2,750","208,378",,Asthma,8.11
09/27/2023,01/01/2020,09/23/2023,By Total,2020,United States,Female,85 years and over,"174,243","2,124,213","158,333","65,968","3,306","269,616",,Hypertension,23.79
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,All Sexes,All Ages,"21,520","231,602","17,619","7,411",356,"32,038",,Obesity,29.52
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,All Sexes,Under 1 year,,"1,491",19,,,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,35.59
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,All Sexes,0-17 years,19,"2,691",45,,,67,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,12.75
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,All Sexes,1-4 years,,344,13,,,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Heart Disease,5.51
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,All Sexes,5-14 years,,453,11,,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,10.07
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,All Sexes,15-24 years,46,"2,672",51,16,,85,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,12.36
