provider_id,overall_rating,year,businessname,practicename,practiceaddress1,practiceaddress2,practicecity,state,practicezip9code,telephonenumber,specialitieslist,providertypelist,supplieslist,latitude,longitude,is_contracted_for_cba
34362778,9,2025,LOVING DENTAL LLC,LOVING DENTAL LLC,16838 E PALISADES BLVD,STE 111,FOUNTAIN HILLS,AZ,85268,4808367600,,ORAL SURGERY - DENTIST,Facial Prostheses,33.60838935,-111.7170435,False
34362268,4,2025,CITI CHEMIST LLC,CITI CHEMIST LLC,3914 104TH ST,,CORONA,NY,113682314,3475322291,Pharmacy,,Epoetin|Immunosuppressive Drugs|Infusion Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs,40.75043747,-73.86226067,False
34362670,4,2025,PRIMEMED PHARMACY LLC,PRIMEMED PHARMACY LLC,486 LINCOLN PL,UNIT 1G,BROOKLYN,NY,112386202,2514087261,Pharmacy,,Epoetin|Immunosuppressive Drugs|Infusion Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs,40.67196618,-73.96039675,False
34362514,9,2025,CG MEDICAL SUPPLIES CORP,CG MEDICAL SUPPLIES CORP,520 N CAMINO MERCADO,SUITE 11,CASA GRANDE,AZ,851225754,8339482409,Medical Supply Company Other,,"Automatic Ext Defibrillator (AEDS) and/or Supplies|Commodes, Urinals, Bedpans|Blood Glucose Monitors/Supplies (Non-Mail Order)|Blood Glucose Monitors/Supplies (Mail Order)|Heat & Cold Applications|Infrared Heating Pads Systems and/or Supplies|Pneumatic Compression Devices and/or Supplies|(TENS) Transcutaneous Electrical Nerve Stimulators and/or Supplies|Ultraviolet Light Devices and/or Supplies|Canes and/or Crutches|Walkers|Orthoses: Off-The-Shelf|Ostomy Supplies|Urological Supplies|Surgical Dressings|Lymphedema Compression Treatment Items|Cognitive Behavioral Therapy Devices|Rehabilitative Therapy Devices|External Electrical Stimulation Devices (Not Otherwise Classified)",32.87764322,-111.6916785,False
20564981,10,2025,SOUTHERN ORTHOCARE INC,SOUTHERN ORTHOCARE INC,740 TELL ST,STE 500,ATHENS,TN,373035171,4232520149,Prosthetic Personnel,,Orthoses: Custom Fabricated|Orthoses: Prefabricated (Non-Custom Fabricated)|Orthoses: Off-The-Shelf|Limb Prostheses|Diabetic Shoes and Inserts|Diabetic Shoes/Inserts - Custom|Lymphedema Compression Treatment Items,35.44247,-84.60616,False
20564987,7,2025,SOUTHERN ORTHOCARE INC,SOUTHERN ORTHOCARE INC,1406 TUSCULUM BLVD,STE 2003,GREENEVILLE,TN,377454341,4236571400,Orthotic Personnel|Prosthetic Personnel,,Orthoses: Custom Fabricated|Orthoses: Prefabricated (Non-Custom Fabricated)|Orthoses: Off-The-Shelf|Limb Prostheses|Diabetic Shoes and Inserts|Diabetic Shoes/Inserts - Custom|Lymphedema Compression Treatment Items,36.17361,-82.79301,False
34362706,6,2025,NORTH BROAD PHARMACIES LLC,NORTH BROAD PHARMACIES LLC,557 N BROAD ST,,ELIZABETH,NJ,72083364,9085339347,Pharmacy,,Epoetin|Immunosuppressive Drugs|Infusion Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs,40.6762109,-74.21299445,False
34362178,9,2025,TZ5 CORP,TZ5 CORP,6428 108TH ST,,FOREST HILLS,NY,113751611,7184597711,Pharmacy,,Epoetin|Immunosuppressive Drugs|Infusion Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs,40.7321231,-73.84943384,False
34362274,10,2025,"FIRST AVE PHARM RX, LLC","FIRST AVE PHARM RX, LLC",1765 1ST AVE,,NEW YORK,NY,101285276,2129701765,Pharmacy,,Epoetin|Immunosuppressive Drugs|Infusion Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs,40.78035542,-73.9470686,False
34362532,1,2025,MCNEILL PROSTHETICS LAB LLC,MCNEILL PROSTHETICS LAB LLC,600 BEACON PKWY W,STE 102,BIRMINGHAM,AL,352093120,2052022294,,CERTIFIED ORTH/PROS/PEDORTHIST,Limb Prostheses,33.47765098,-86.82116402,False
