state,year,er_visits,admissions,avg_los,bed_occupancy_rate,er_wait_minutes
AL,2016,80357,14393,4.06,0.63,61
AL,2017,48010,12070,3.85,0.53,79
AL,2018,55492,17352,3.63,0.65,16
AL,2019,61112,13656,4.34,0.68,45
AL,2020,43166,14154,5.44,0.76,39
AL,2021,55030,22091,5.4,0.78,35
AL,2022,54986,29411,5.15,0.61,46
AL,2023,28679,3000,4.17,0.6,38
AL,2024,70264,16137,2.71,0.65,38
AK,2016,64007,19872,4.84,0.56,30
AK,2017,45618,18028,6.32,0.67,51
AK,2018,52426,15929,5.78,0.73,64
AK,2019,62579,9879,4.3,0.68,76
AK,2020,51079,12343,5.46,0.52,33
AK,2021,51358,22349,4.04,0.56,22
AK,2022,33201,24454,4.43,0.81,38
AK,2023,63318,18580,3.02,0.58,27
AK,2024,56858,12982,4.12,0.75,64
AZ,2016,59116,18574,4.67,0.74,27
AZ,2017,32102,16559,4.3,0.65,45
AZ,2018,79760,21273,5.42,0.58,16
AZ,2019,57315,18709,6.76,0.7,36
AZ,2020,49192,14269,6.09,0.59,47
AZ,2021,85436,19144,4.13,0.66,74
AZ,2022,54319,10923,3.62,0.69,29
AZ,2023,33239,22920,3.72,0.61,51
AZ,2024,48921,25094,3.33,0.66,5
AR,2016,20675,10928,4.54,0.65,19
AR,2017,70740,20526,5.01,0.56,27
AR,2018,48752,12052,4.72,0.66,33
AR,2019,43861,24430,4.73,0.62,52
AR,2020,71087,23424,4.69,0.5,56
AR,2021,30233,16618,4.34,0.65,11
AR,2022,63031,23969,3.61,0.65,54
AR,2023,24033,15413,6.57,0.62,21
AR,2024,45067,14141,5.76,0.47,80
CA,2016,36936,14587,3.41,0.76,50
CA,2017,76929,17154,3.41,0.75,46
CA,2018,81492,16059,3.8,0.75,40
CA,2019,50058,18926,4.54,0.71,43
CA,2020,67610,14309,6.01,0.55,43
CA,2021,52300,22588,5.72,0.69,29
CA,2022,63520,24125,5.78,0.59,58
CA,2023,43707,15024,5.81,0.9,49
CA,2024,29374,9436,5.83,0.63,58
CO,2016,27953,22343,5.38,0.75,42
CO,2017,60746,24831,5.05,0.52,57
CO,2018,88713,17020,4.36,0.56,28
CO,2019,59041,10280,2.41,0.63,115
CO,2020,47130,19600,4.34,0.75,29
CO,2021,83680,27148,6.66,0.73,34
CO,2022,58559,6742,3.85,0.71,62
CO,2023,56521,20867,3.75,0.49,68
CO,2024,58788,16118,5.72,0.79,27
CT,2016,53014,12865,4.6,0.59,10
CT,2017,50357,20989,3.92,0.84,15
CT,2018,33475,10207,6.37,0.87,23
CT,2019,62524,19781,5.25,0.76,28
CT,2020,53578,25879,5.41,0.78,40
CT,2021,72896,19060,3.82,0.55,64
CT,2022,49467,12742,5.1,0.94,65
CT,2023,26404,7324,4.95,0.7,31
CT,2024,53505,10308,5.43,0.78,54
DE,2016,80493,6952,5.88,0.59,61
DE,2017,49248,27597,5.85,0.67,71
DE,2018,41652,16503,4.7,0.56,40
DE,2019,37096,11729,5.33,0.66,28
DE,2020,39249,10210,3.13,0.68,58
DE,2021,50497,11596,5.27,0.71,73
DE,2022,37300,15984,5.32,0.82,33
DE,2023,77464,10304,4.03,0.73,82
DE,2024,50760,28057,3.57,0.7,78
FL,2016,56629,13515,4.43,0.68,38
FL,2017,76573,13304,3.04,0.88,12
FL,2018,77549,19846,4.91,0.62,31
FL,2019,51809,26703,4.85,0.8,36
FL,2020,59979,25943,3.36,0.48,54
FL,2021,66025,15073,4.56,0.59,10
FL,2022,52107,19532,5.78,0.72,92
FL,2023,28329,18895,5.78,0.66,90
FL,2024,64820,21179,5.71,0.95,29
GA,2016,68415,19534,4.32,0.94,6
GA,2017,61232,12337,4.09,0.53,40
GA,2018,41146,10438,4.03,0.57,52
GA,2019,52059,19053,5.21,0.67,70
GA,2020,46138,10898,7.32,0.85,57
GA,2021,50504,26179,6.19,0.79,39
GA,2022,74453,18239,6.4,0.71,5
GA,2023,77943,11843,6.12,0.54,53
GA,2024,65041,16070,2.56,0.6,60
HI,2016,63231,14956,4.26,0.41,37
HI,2017,65149,17212,3.98,0.53,49
HI,2018,54816,23675,6.0,0.72,47
HI,2019,53865,9333,6.53,0.76,38
HI,2020,44895,6794,3.7,0.55,20
HI,2021,54161,20028,4.55,0.69,50
HI,2022,88899,16936,5.17,0.84,15
HI,2023,68035,18979,3.91,0.7,71
HI,2024,49868,20667,3.75,0.65,25
ID,2016,47921,16913,3.69,0.74,53
ID,2017,42032,22798,5.56,0.73,28
ID,2018,60615,12641,3.41,0.69,51
ID,2019,60873,18386,5.86,0.63,39
ID,2020,33353,13015,4.6,0.64,54
ID,2021,62295,11220,5.4,0.69,27
ID,2022,46457,21692,6.35,0.63,10
ID,2023,76400,21414,3.7,0.81,37
ID,2024,57352,6348,3.52,0.77,36
IL,2016,80765,11268,5.01,0.79,13
IL,2017,48128,19751,3.26,0.88,29
IL,2018,50680,24421,3.62,0.84,10
IL,2019,59497,14004,4.36,0.82,45
IL,2020,70839,16897,4.69,0.72,36
IL,2021,63488,9519,3.01,0.66,43
IL,2022,36497,33064,4.04,0.91,95
IL,2023,57743,20850,5.2,0.61,46
IL,2024,55333,23367,6.11,0.62,50
IN,2016,48563,21948,2.15,0.59,56
IN,2017,45278,23599,6.06,0.7,40
IN,2018,81213,21648,5.56,0.72,31
IN,2019,49144,15988,3.2,0.78,61
IN,2020,42311,22464,2.74,0.66,64
IN,2021,64556,18474,5.0,0.51,5
IN,2022,56959,25779,4.0,0.71,40
IN,2023,53862,13586,4.66,0.78,36
IN,2024,66719,14752,5.53,0.68,32
IA,2016,62329,21966,4.05,0.67,68
IA,2017,60432,25677,4.69,0.74,32
IA,2018,69463,18870,5.07,0.82,60
IA,2019,59254,13724,5.56,0.67,32
IA,2020,45746,17286,6.61,0.54,35
IA,2021,49565,15010,6.53,0.62,58
IA,2022,47185,29381,4.79,0.66,28
IA,2023,58145,23392,4.22,0.5,40
IA,2024,38830,25586,7.34,0.76,21
KS,2016,27513,19809,5.27,0.6,25
KS,2017,56322,14669,5.01,0.73,57
KS,2018,34952,25039,3.18,0.7,55
KS,2019,25720,27923,5.43,0.65,20
KS,2020,60599,21491,3.57,0.84,19
KS,2021,44334,17854,3.95,0.62,94
KS,2022,62441,24485,2.91,0.61,30
KS,2023,47037,15773,3.88,0.71,26
KS,2024,38170,22587,4.57,0.76,53
KY,2016,36347,13730,2.71,0.68,27
KY,2017,47276,12177,3.43,0.58,36
KY,2018,50899,21398,4.41,0.75,61
KY,2019,42648,20027,2.99,0.74,63
KY,2020,50783,29425,3.01,0.89,39
KY,2021,31958,16319,3.51,0.66,70
KY,2022,55217,18140,2.82,0.7,40
KY,2023,28095,11160,5.23,0.62,38
KY,2024,52092,6784,3.31,0.53,43
LA,2016,65459,7315,5.42,0.69,37
LA,2017,71379,20778,5.61,0.77,53
LA,2018,80715,10940,3.07,0.58,49
LA,2019,31655,24760,4.55,0.61,27
LA,2020,66380,26533,3.93,0.56,46
LA,2021,73094,16287,3.14,0.81,32
LA,2022,69708,27950,4.1,0.62,31
LA,2023,41060,19363,4.21,0.74,40
LA,2024,61176,24749,5.35,0.59,63
ME,2016,82900,16645,5.73,0.69,48
ME,2017,32540,23755,3.18,0.62,68
ME,2018,62145,12340,4.01,0.45,74
ME,2019,71684,21736,5.13,0.69,42
ME,2020,44551,15244,5.91,0.73,31
ME,2021,63744,17216,2.0,0.47,27
ME,2022,38936,21790,6.03,0.66,48
ME,2023,42816,19036,4.3,0.64,60
ME,2024,42743,17553,6.33,0.57,75
MD,2016,57884,22366,3.99,0.65,17
MD,2017,53635,22819,3.51,0.49,61
MD,2018,69311,9689,4.55,0.71,64
MD,2019,40895,21353,5.9,0.8,92
MD,2020,53030,22026,4.54,0.55,47
MD,2021,69416,13489,2.0,0.67,42
MD,2022,63411,20314,5.32,0.82,13
MD,2023,35130,10054,2.57,0.69,27
MD,2024,64978,26635,3.33,0.63,21
MA,2016,47823,16574,3.11,0.59,23
MA,2017,60780,17528,2.3,0.7,25
MA,2018,59510,25184,3.0,0.67,12
MA,2019,73289,17143,3.32,0.74,41
MA,2020,56748,21593,3.77,0.53,51
MA,2021,27192,11715,4.44,0.79,58
MA,2022,34452,14581,4.1,0.64,41
MA,2023,65967,9645,2.72,0.74,64
MA,2024,51125,16750,4.28,0.61,64
MI,2016,72069,24186,5.67,0.55,13
MI,2017,59101,19341,5.64,0.62,38
MI,2018,43764,23305,4.66,0.58,18
MI,2019,71236,11842,5.24,0.64,24
MI,2020,42889,12700,5.57,0.74,47
MI,2021,24210,15206,6.13,0.79,41
MI,2022,85956,21435,6.54,0.7,72
MI,2023,26338,20138,4.12,0.63,84
MI,2024,64546,17908,4.17,0.63,52
MN,2016,69082,21735,6.27,0.74,39
MN,2017,57205,17091,6.37,0.79,40
MN,2018,29749,17870,6.35,0.65,43
MN,2019,70225,25829,2.0,0.67,55
MN,2020,33376,14482,4.24,0.6,29
MN,2021,34845,19096,2.0,0.7,55
MN,2022,49574,27671,5.38,0.78,38
MN,2023,66827,18611,4.57,0.4,64
MN,2024,59501,22239,4.56,0.71,71
MS,2016,67161,14359,4.33,0.62,78
MS,2017,48345,29739,6.06,0.45,40
MS,2018,52417,4502,4.15,0.71,16
MS,2019,37942,11194,5.74,0.67,10
MS,2020,50247,11676,5.16,0.72,37
MS,2021,63896,27718,4.93,0.54,15
MS,2022,50502,20114,5.06,0.89,10
MS,2023,62131,16426,4.63,0.69,36
MS,2024,46400,10309,3.19,0.65,24
MO,2016,46114,20184,5.36,0.83,57
MO,2017,55587,18684,5.36,0.75,82
MO,2018,52076,13842,4.33,0.76,39
MO,2019,63885,9050,5.38,0.8,50
MO,2020,57674,11383,5.58,0.47,12
MO,2021,81105,19280,2.96,0.85,47
MO,2022,51707,19866,4.33,0.65,29
MO,2023,51591,18438,3.97,0.71,22
MO,2024,39398,17090,3.41,0.77,6
MT,2016,55341,7387,4.89,0.61,76
MT,2017,65242,18292,3.49,0.71,11
MT,2018,43895,11804,3.98,0.76,19
MT,2019,54254,18250,4.79,0.68,44
MT,2020,65778,20790,4.92,0.73,49
MT,2021,53096,13945,4.89,0.52,49
MT,2022,47212,11861,7.18,0.56,46
MT,2023,69596,23961,3.9,0.56,26
MT,2024,56455,20110,4.8,0.72,59
NE,2016,60948,14180,3.05,0.95,47
NE,2017,72570,3000,5.08,0.71,15
NE,2018,72179,17705,5.88,0.67,76
NE,2019,49791,21774,5.96,0.67,37
NE,2020,47118,24729,3.74,0.78,63
NE,2021,59264,13932,4.16,0.75,15
NE,2022,53008,14141,6.01,0.57,20
NE,2023,26502,15342,4.39,0.78,32
NE,2024,74130,23027,5.65,0.68,30
NV,2016,55290,10951,3.33,0.76,64
NV,2017,66045,17322,6.16,0.48,11
NV,2018,37406,12445,5.73,0.52,47
NV,2019,74323,19611,5.06,0.74,23
NV,2020,46176,8671,3.54,0.5,54
NV,2021,53384,20256,4.31,0.72,48
NV,2022,33978,15020,4.68,0.71,33
NV,2023,52495,16655,4.82,0.69,88
NV,2024,51552,21154,4.37,0.72,43
NH,2016,52219,24862,4.24,0.71,66
NH,2017,61577,7818,4.73,0.72,17
NH,2018,55905,24021,6.17,0.64,41
NH,2019,69636,21348,2.09,0.68,46
NH,2020,47977,16231,2.85,0.95,47
NH,2021,40059,26423,2.65,0.79,37
NH,2022,54713,19131,3.68,0.74,27
NH,2023,64425,25760,2.41,0.72,5
NH,2024,73669,14443,5.16,0.61,32
NJ,2016,67208,12799,4.61,0.7,26
NJ,2017,28518,25347,4.2,0.66,39
NJ,2018,60655,30985,3.68,0.77,61
NJ,2019,76905,21802,4.69,0.59,88
NJ,2020,55938,23347,4.71,0.44,55
NJ,2021,47259,15156,4.9,0.62,64
NJ,2022,59637,10048,3.63,0.75,57
NJ,2023,47451,16644,5.28,0.93,59
NJ,2024,64586,27001,2.74,0.78,56
NM,2016,54805,6837,6.0,0.58,39
NM,2017,75895,15028,2.0,0.66,38
NM,2018,62492,6512,3.79,0.58,51
NM,2019,44141,18649,3.06,0.66,80
NM,2020,64069,23245,5.45,0.59,60
NM,2021,69040,10543,2.72,0.52,76
NM,2022,46473,15543,6.69,0.72,18
NM,2023,48613,25954,2.65,0.7,49
NM,2024,20422,17469,6.93,0.66,52
NY,2016,68551,10564,5.04,0.71,55
NY,2017,46183,10102,4.54,0.88,17
NY,2018,23164,5912,5.02,0.69,7
NY,2019,28468,22639,7.13,0.64,5
NY,2020,51655,13523,5.57,0.77,36
NY,2021,66409,24304,2.0,0.52,91
NY,2022,53664,23202,5.93,0.76,49
NY,2023,62076,14039,4.78,0.6,20
NY,2024,38477,14832,2.56,0.6,51
NC,2016,34879,22671,5.41,0.69,38
NC,2017,68285,18896,3.05,0.85,48
NC,2018,62382,19606,4.72,0.61,35
NC,2019,54542,8117,4.78,0.78,18
NC,2020,74231,23386,3.72,0.72,34
NC,2021,40732,12748,5.28,0.54,59
NC,2022,48696,4382,3.27,0.77,50
NC,2023,70395,14298,4.73,0.6,69
NC,2024,82566,20531,3.84,0.53,23
ND,2016,55126,30582,4.28,0.6,65
ND,2017,80192,15763,6.81,0.61,46
ND,2018,45962,10021,4.63,0.74,48
ND,2019,59946,30740,3.2,0.61,70
ND,2020,52392,18961,4.36,0.83,42
ND,2021,31176,16432,3.58,0.7,50
ND,2022,58869,11544,4.53,0.61,58
ND,2023,68991,11976,4.69,0.6,58
ND,2024,52775,26872,4.6,0.7,61
OH,2016,53943,16375,4.6,0.48,71
OH,2017,75893,14773,3.85,0.46,55
OH,2018,36254,14940,5.04,0.59,36
OH,2019,32536,27407,5.77,0.74,94
OH,2020,45189,14463,3.76,0.7,44
OH,2021,37050,21768,4.43,0.68,53
OH,2022,75194,19596,4.57,0.66,30
OH,2023,59645,19435,6.0,0.46,5
OH,2024,42038,12736,5.8,0.65,30
OK,2016,45782,21951,3.62,0.5,46
OK,2017,97916,27651,4.59,0.76,56
OK,2018,45848,17686,2.71,0.68,46
OK,2019,43569,12481,3.34,0.67,61
OK,2020,59564,10251,4.52,0.72,65
OK,2021,64573,19144,5.26,0.71,65
OK,2022,58325,16368,5.65,0.7,45
OK,2023,41370,17373,4.13,0.71,47
OK,2024,37612,18070,2.88,0.62,41
OR,2016,63942,9146,4.98,0.55,28
OR,2017,54187,22688,4.29,0.71,74
OR,2018,30378,19405,5.01,0.82,20
OR,2019,72565,17552,4.69,0.78,44
OR,2020,66629,19391,5.36,0.66,50
OR,2021,51385,23556,5.29,0.74,5
OR,2022,51096,18320,5.51,0.64,60
OR,2023,58471,12898,3.95,0.72,38
OR,2024,44694,24997,5.69,0.62,50
PA,2016,34775,15400,3.9,0.69,39
PA,2017,59837,13647,4.6,0.88,15
PA,2018,33413,8628,6.73,0.76,49
PA,2019,60860,18047,4.93,0.83,47
PA,2020,33381,11714,3.1,0.6,65
PA,2021,53511,14885,6.29,0.61,55
PA,2022,52965,20695,5.7,0.68,12
PA,2023,81739,18199,5.87,0.74,67
PA,2024,39034,24097,4.74,0.66,61
RI,2016,33775,19830,4.91,0.78,61
RI,2017,45307,15576,4.22,0.62,55
RI,2018,38144,16021,3.66,0.82,31
RI,2019,46153,14955,6.34,0.78,56
